,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10091,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19317387.0,19317387.0,,1,,,,2023-03-14T15:14:00.000Z,25947.257061022825,51197205343.19218,2.5378,0.28565313,6.99121885,17.51326376,18.40615689,35.78033847,43.82250366,501233206236.2605,44.1281,544892398281.48,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
1,1027,Ethereum,ETH,ethereum,6576,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-03-14T15:14:00.000Z,1775.2396058430484,15051924584.86456,-13.4677,1.99140083,5.17090397,14.90617298,15.83476673,25.53647947,32.52800703,217242934029.9772,19.1348,217242934029.98,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
2,825,Tether,USDT,tether,49364,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,72899554644.6048,73141766321.23428,,3,,,,2023-03-14T15:14:00.000Z,1.003272900849663,69437803075.45566,-9.0611,0.05641417,-0.18860642,0.32722413,0.30777645,0.31080221,0.32060291,73138147658.94118,6.442,73381152070.37,,2023-03-14T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-03-14 15:16:51.664024
3,1839,BNB,BNB,bnb,1214,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",,157892269.5418667,159979963.59042934,,4,,,,2023-03-14T15:14:00.000Z,319.8191572873219,820366095.3213481,-27.0104,1.08083003,2.56565012,12.18114791,3.34747593,11.11794461,17.47696634,50496972587.062485,4.4441,51164657138.35,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
4,3408,USD Coin,USDC,usd-coin,10698,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,39509917694.0409,39509917694.0409,,5,,,,2023-03-14T15:14:00.000Z,0.9985861939080127,7345791130.337908,-33.9579,0.03768667,0.04737511,-0.1473339,-0.14717368,-0.15072897,-0.14273143,39454058331.71115,3.4711,39454058331.71,,2023-03-14T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-03-14 15:16:51.664024
5,52,XRP,XRP,xrp,903,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50950912949.0,99989113908.0,,6,,,,2023-03-14T15:14:00.000Z,0.3873976501145746,1507534784.585298,-15.935,1.97426957,2.50528245,3.17132515,1.31021796,3.69574618,-1.53777238,19738263947.63485,1.7371,38739765011.46,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
6,2010,Cardano,ADA,cardano,673,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34698327086.017,35573698990.423,,7,,,,2023-03-14T15:14:00.000Z,0.36799091089886454,534286384.01192915,-22.5024,1.24741233,4.90034158,13.77468166,-0.26170984,11.64039589,17.42965781,12768668991.050138,1.1247,16559590990.45,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
7,3890,Polygon,MATIC,polygon,610,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,8,,,,2023-03-14T15:14:00.000Z,1.244926053305357,986773085.357313,-1.0581,1.84291151,4.48016489,11.08456298,-2.88050303,37.47549772,33.65653853,10873579382.822477,0.9577,12449260533.05,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
8,74,Dogecoin,DOGE,dogecoin,657,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,9,,,,2023-03-14T15:14:00.000Z,0.07738941196825547,586566813.5561109,-0.6507,1.28673189,5.92478257,5.92839081,-7.8919897,-3.17723563,-15.39398335,10267312434.547823,0.9033,10267312434.55,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
9,5426,Solana,SOL,solana,439,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,383096689.8383607,539312704.8875339,,10,,,,2023-03-14T15:14:00.000Z,21.967083061983825,1109341958.0789783,-11.0109,1.24774361,4.40408116,9.28026187,4.2971738,31.19151055,53.45180072,8415516806.450325,0.7406,11847126984.65,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
10,4687,Binance USD,BUSD,binance-usd,6418,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem']",,8375923985.893375,8375923985.893375,,11,,,,2023-03-14T15:14:00.000Z,0.9999611690682857,9683717069.620409,-8.1964,0.06525805,-0.22725524,-0.04061641,-0.01619392,0.01047534,-0.00553256,8375598740.961035,0.7374,8375598740.96,,2023-03-14T15:14:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-03-14 15:16:51.664024
11,6636,Polkadot,DOT,polkadot-new,479,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1165913860.5212653,1292337530.8264453,,12,904869778.0,5920548730.064753,,2023-03-14T15:14:00.000Z,6.542984276865475,367926377.92637694,-13.8064,1.3249163,7.60714469,13.08426545,3.76323918,24.9669859,22.64700612,7628556057.570166,0.6711,8455744144.6,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
12,5994,Shiba Inu,SHIB,shiba-inu,493,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,13,,,,2023-03-14T15:14:00.000Z,1.1753442139326029e-05,439130619.2625148,2.9589,2.17194535,4.95560342,9.65806928,-10.01482012,21.71314092,28.18472134,6453383479.101246,0.5684,6931416557.44,,2023-03-14T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-03-14 15:16:51.664024
13,4943,Dai,DAI,multi-collateral-dai,1973,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,6452049227.809318,6452049227.809318,,14,,,,2023-03-14T15:14:00.000Z,0.9992167785211811,644362788.4357893,-57.4764,0.14592467,0.00649176,-0.01292026,-0.00688282,-0.11098088,-0.04895095,6446995844.2717,0.5679,6446995844.27,,2023-03-14T15:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-03-14 15:16:51.664024
14,2,Litecoin,LTC,litecoin,887,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,72480464.59396102,84000000.0,,15,,,,2023-03-14T15:14:00.000Z,88.03698732044771,869151367.9098303,-22.8515,1.70266592,7.93228504,3.6196194,-5.80849868,4.26515444,11.72010467,6380961742.4387045,0.5614,7395106934.92,,2023-03-14T15:14:00.000Z,,,,,,2023-03-14 15:16:51.664024
